ticker,name,name_simple,average_comments,exclusion
WFC,Wells Fargo & Company,Wells Fargo,17.45,0
WHR,Whirlpool Corporation,Whirlpool,2.74137931034482,0
WM,Waste Management Inc.,Waste Management,5.70103092783505,0
WMB,Williams Companies Inc.,Williams Companies,1.44186046511627,0
WMT,Walmart Inc.,Walmart,28.0420168067226,0
WRB,W. R. Berkley Corporation,Berkley Corp,1.22222222222222,0
WRK,WestRock Company,WestRock,1.42857142857142,1
WST,West Pharmaceutical Services Inc.,West Pharmaceutical,1.5,0
WTW,Willis Towers Watson Public Limited Company,Willis Towers,2.81355932203389,0
WY,Weyerhaeuser Company,Weyerhaeuser,2.5,0
WYNN,Wynn Resorts Limited,Wynn Resorts,5.31460674157303,0
XEL,Xcel Energy Inc.,Xcel Energy,1.48148148148148,0
XOM,Exxon Mobil Corporation,Exxon,14.126050420168,0
XRAY,DENTSPLY SIRONA Inc.,DENTSPLY,2.375,0
XYL,Xylem Inc.,Xylem,1.48571428571428,0
YUM,Yum! Brands Inc.,Yum Brands,2.52272727272727,0
ZBH,Zimmer Biomet Holdings Inc.,Zimmer,1.6774193548387,0
ZBRA,Zebra Technologies Corporation Class A,Zebra Tech,1.76,0
ZION,Zions Bancorporation N.A.,Zions,1.71428571428571,0
ZTS,Zoetis Inc. Class A,Zoetis,1.57692307692307,1
